,Sender,Recipient,EventDate
0,17,37,2010-01-02 17:40:10
1,17,136,2010-01-02 17:40:10
2,17,62,2010-01-02 17:40:10
3,17,129,2010-01-02 17:40:10
4,17,32,2010-01-02 17:40:10
5,17,97,2010-01-02 17:40:10
6,17,19,2010-01-02 17:40:10
7,17,148,2010-01-02 17:40:10
8,17,105,2010-01-02 17:40:10
9,17,158,2010-01-02 17:40:10
10,17,41,2010-01-02 17:40:10
11,17,133,2010-01-02 17:40:10
12,17,11,2010-01-02 17:40:10
13,17,90,2010-01-02 17:40:10
14,17,146,2010-01-02 17:40:10
15,17,161,2010-01-02 17:40:10
16,39,81,2010-01-04 05:38:46
17,39,81,2010-01-04 05:39:35
18,112,136,2010-01-04 06:08:09
19,112,60,2010-01-04 06:10:29
20,112,57,2010-01-04 06:11:28
21,112,94,2010-01-04 06:11:56
22,77,162,2010-01-04 06:35:08
23,33,152,2010-01-04 06:35:43
24,142,117,2010-01-04 06:36:40
25,17,97,2010-01-04 06:38:34
26,117,30,2010-01-04 06:42:13
27,117,142,2010-01-04 06:43:58
28,158,150,2010-01-04 06:48:05
29,158,135,2010-01-04 06:48:05
30,158,162,2010-01-04 06:48:05
31,158,65,2010-01-04 06:48:05
32,150,158,2010-01-04 06:48:33
33,65,158,2010-01-04 06:49:10
34,17,97,2010-01-04 06:53:19
35,91,60,2010-01-04 06:54:14
36,73,136,2010-01-04 06:55:15
37,66,89,2010-01-04 06:55:21
39,162,158,2010-01-04 06:58:41
40,162,77,2010-01-04 06:59:00
41,94,60,2010-01-04 07:00:13
42,66,130,2010-01-04 07:01:48
43,143,60,2010-01-04 07:01:53
44,133,136,2010-01-04 07:02:33
45,133,141,2010-01-04 07:02:33
46,133,19,2010-01-04 07:02:33
47,133,73,2010-01-04 07:02:33
48,133,144,2010-01-04 07:02:33
49,133,62,2010-01-04 07:02:33
50,47,82,2010-01-04 07:04:36
51,47,82,2010-01-04 07:04:38
52,47,82,2010-01-04 07:04:46
53,47,82,2010-01-04 07:04:48
54,47,78,2010-01-04 07:06:36
55,33,45,2010-01-04 07:08:12
56,108,60,2010-01-04 07:09:49
57,47,136,2010-01-04 07:10:53
58,146,17,2010-01-04 07:11:48
59,146,17,2010-01-04 07:12:25
60,132,102,2010-01-04 07:12:47
61,146,19,2010-01-04 07:12:58
62,132,102,2010-01-04 07:13:20
63,146,19,2010-01-04 07:13:30
64,44,47,2010-01-04 07:14:08
65,33,60,2010-01-04 07:14:25
66,44,60,2010-01-04 07:14:30
67,33,135,2010-01-04 07:14:38
68,117,57,2010-01-04 07:14:48
69,136,19,2010-01-04 07:15:14
70,136,133,2010-01-04 07:15:14
71,136,166,2010-01-04 07:15:14
72,136,73,2010-01-04 07:15:14
73,136,123,2010-01-04 07:15:14
74,136,84,2010-01-04 07:15:14
75,136,39,2010-01-04 07:15:14
76,136,107,2010-01-04 07:15:14
77,136,112,2010-01-04 07:15:14
78,166,136,2010-01-04 07:16:20
79,108,17,2010-01-04 07:17:01
80,35,161,2010-01-04 07:17:07
82,136,166,2010-01-04 07:17:11
83,17,108,2010-01-04 07:18:09
84,116,83,2010-01-04 07:18:25
85,116,166,2010-01-04 07:19:24
86,19,136,2010-01-04 07:20:31
87,133,136,2010-01-04 07:21:17
88,152,47,2010-01-04 07:21:43
89,81,95,2010-01-04 07:22:10
90,47,152,2010-01-04 07:22:23
91,81,64,2010-01-04 07:23:00
92,81,166,2010-01-04 07:23:08
93,116,94,2010-01-04 07:23:47
94,81,60,2010-01-04 07:25:22
95,81,94,2010-01-04 07:25:22
96,118,37,2010-01-04 07:25:58
97,91,77,2010-01-04 07:26:02
98,143,152,2010-01-04 07:26:11
99,116,60,2010-01-04 07:26:26
100,77,91,2010-01-04 07:26:48
101,116,47,2010-01-04 07:27:17
102,73,136,2010-01-04 07:27:34
103,147,94,2010-01-04 07:34:37
104,118,37,2010-01-04 07:36:40
105,133,136,2010-01-04 07:37:46
106,39,136,2010-01-04 07:39:03
107,127,65,2010-01-04 07:40:20
108,127,94,2010-01-04 07:40:49
109,137,47,2010-01-04 07:42:12
110,137,126,2010-01-04 07:42:12
111,137,27,2010-01-04 07:42:12
112,133,136,2010-01-04 07:42:34
113,133,73,2010-01-04 07:42:34
114,133,62,2010-01-04 07:42:34
115,80,166,2010-01-04 07:43:10
116,80,94,2010-01-04 07:45:56
117,64,60,2010-01-04 07:48:46
118,136,69,2010-01-04 07:48:57
119,136,86,2010-01-04 07:48:57
120,136,19,2010-01-04 07:48:57
121,136,73,2010-01-04 07:48:57
122,136,36,2010-01-04 07:48:57
123,136,85,2010-01-04 07:48:57
124,136,161,2010-01-04 07:48:57
125,55,60,2010-01-04 07:50:10
126,162,77,2010-01-04 07:52:57
127,105,97,2010-01-04 07:53:51
128,129,18,2010-01-04 07:53:56
129,129,163,2010-01-04 07:53:56
130,129,110,2010-01-04 07:53:56
131,129,14,2010-01-04 07:53:56
132,129,158,2010-01-04 07:53:56
133,135,158,2010-01-04 07:54:00
134,105,60,2010-01-04 07:54:02
135,77,162,2010-01-04 07:54:27
136,62,133,2010-01-04 07:56:41
137,62,136,2010-01-04 07:56:41
138,123,136,2010-01-04 07:56:42
139,69,152,2010-01-04 07:56:52
140,90,152,2010-01-04 07:58:16
141,97,105,2010-01-04 08:01:25
142,97,17,2010-01-04 08:03:03
143,166,54,2010-01-04 08:04:02
144,133,90,2010-01-04 08:04:07
145,133,141,2010-01-04 08:04:07
146,54,166,2010-01-04 08:05:00
147,54,166,2010-01-04 08:05:19
148,137,90,2010-01-04 08:06:30
149,137,136,2010-01-04 08:06:30
150,137,112,2010-01-04 08:06:30
151,137,19,2010-01-04 08:06:30
152,137,65,2010-01-04 08:06:30
153,137,73,2010-01-04 08:06:30
154,158,129,2010-01-04 08:06:45
155,69,136,2010-01-04 08:07:27
156,137,136,2010-01-04 08:07:41
157,137,90,2010-01-04 08:07:41
158,137,112,2010-01-04 08:07:41
159,137,19,2010-01-04 08:07:41
160,137,65,2010-01-04 08:07:41
161,137,73,2010-01-04 08:07:41
162,90,137,2010-01-04 08:07:45
164,137,136,2010-01-04 08:08:03
165,137,90,2010-01-04 08:08:03
166,137,112,2010-01-04 08:08:03
167,137,19,2010-01-04 08:08:03
168,137,65,2010-01-04 08:08:03
169,137,73,2010-01-04 08:08:03
170,90,137,2010-01-04 08:08:11
171,19,137,2010-01-04 08:08:37
173,19,137,2010-01-04 08:08:39
174,137,136,2010-01-04 08:08:53
175,137,90,2010-01-04 08:08:53
176,137,112,2010-01-04 08:08:53
177,137,19,2010-01-04 08:08:53
178,137,65,2010-01-04 08:08:53
179,137,73,2010-01-04 08:08:53
180,136,137,2010-01-04 08:09:36
181,136,137,2010-01-04 08:09:37
182,73,137,2010-01-04 08:09:37
183,73,137,2010-01-04 08:09:38
184,137,136,2010-01-04 08:09:41
185,137,112,2010-01-04 08:09:41
186,137,19,2010-01-04 08:09:41
187,137,65,2010-01-04 08:09:41
188,137,73,2010-01-04 08:09:41
189,137,90,2010-01-04 08:09:41
190,90,137,2010-01-04 08:09:49
191,19,137,2010-01-04 08:10:06
192,73,137,2010-01-04 08:10:38
193,136,137,2010-01-04 08:11:04
194,73,137,2010-01-04 08:11:38
195,136,137,2010-01-04 08:12:25
196,62,146,2010-01-04 08:12:30
197,90,127,2010-01-04 08:15:19
198,90,41,2010-01-04 08:15:19
199,30,135,2010-01-04 08:16:03
200,17,108,2010-01-04 08:16:31
201,90,137,2010-01-04 08:17:01
202,128,81,2010-01-04 08:20:04
203,136,137,2010-01-04 08:20:54
204,127,90,2010-01-04 08:21:14
205,32,97,2010-01-04 08:21:31
206,32,17,2010-01-04 08:21:31
207,32,97,2010-01-04 08:22:04
208,32,17,2010-01-04 08:22:04
209,14,129,2010-01-04 08:22:12
210,86,136,2010-01-04 08:24:25
211,153,152,2010-01-04 08:25:36
212,167,94,2010-01-04 08:29:03
213,152,153,2010-01-04 08:30:03
214,113,82,2010-01-04 08:31:05
215,113,82,2010-01-04 08:31:09
216,36,102,2010-01-04 08:31:15
217,113,82,2010-01-04 08:31:29
218,113,82,2010-01-04 08:31:32
219,113,121,2010-01-04 08:31:37
220,135,90,2010-01-04 08:32:00
221,90,135,2010-01-04 08:32:58
222,65,137,2010-01-04 08:33:50
224,65,137,2010-01-04 08:33:52
225,65,137,2010-01-04 08:33:54
226,136,3,2010-01-04 08:34:47
227,136,166,2010-01-04 08:34:47
228,136,152,2010-01-04 08:34:47
229,166,132,2010-01-04 08:36:01
230,112,137,2010-01-04 08:38:25
232,112,137,2010-01-04 08:38:27
233,112,137,2010-01-04 08:38:29
234,36,152,2010-01-04 08:39:03
235,132,166,2010-01-04 08:39:25
236,84,136,2010-01-04 08:39:32
237,152,136,2010-01-04 08:41:49
238,73,136,2010-01-04 08:41:55
239,121,130,2010-01-04 08:42:01
240,73,137,2010-01-04 08:42:04
241,130,121,2010-01-04 08:42:53
242,166,36,2010-01-04 08:44:21
243,19,136,2010-01-04 08:44:53
244,36,166,2010-01-04 08:45:30
245,19,137,2010-01-04 08:46:59
246,58,60,2010-01-04 08:47:19
247,117,57,2010-01-04 08:49:21
248,33,162,2010-01-04 08:50:17
249,161,136,2010-01-04 08:50:34
250,33,77,2010-01-04 08:50:45
251,133,136,2010-01-04 08:50:50
252,133,19,2010-01-04 08:50:50
253,133,73,2010-01-04 08:50:50
254,133,141,2010-01-04 08:50:50
255,133,62,2010-01-04 08:50:50
256,161,83,2010-01-04 08:53:39
257,161,90,2010-01-04 08:53:39
258,161,35,2010-01-04 08:53:39
259,110,129,2010-01-04 08:54:32
260,19,133,2010-01-04 08:54:38
261,11,153,2010-01-04 08:55:25
262,35,161,2010-01-04 08:56:12
263,83,161,2010-01-04 09:00:06
264,36,14,2010-01-04 09:01:23
265,73,133,2010-01-04 09:03:40
266,36,102,2010-01-04 09:07:00
267,36,136,2010-01-04 09:07:24
268,17,110,2010-01-04 09:10:31
269,36,14,2010-01-04 09:11:34
270,110,17,2010-01-04 09:11:50
271,158,119,2010-01-04 09:14:27
272,110,17,2010-01-04 09:14:36
273,8,155,2010-01-04 09:15:31
274,8,47,2010-01-04 09:16:06
